hours,remote,education,seniority,country,job_published_at,y_pred,comp_dol
Full-Time,Unclear,Unclear,Unclear Seniority,United States,2023-04-12,-0.07582341830059793,-0.09425814393935344
Full-Time,true,Unclear,Unclear Seniority,United States,2023-05-03,0.4191554814381107,0.5968117914883798
Full-Time,Unclear,Bachelors,Staff IC,United States,2023-05-16,0.853143746773787,0.36168914679112807
Full-Time,Unclear,Bachelors,Senior IC,United States,2023-05-19,0.4401317614849217,0.62064178926175
Full-Time,Unclear,Unclear,Senior IC,Canada,2023-04-05,-0.4576885754143632,-0.8301284751810225
Full-Time,Unclear,Some High School,Junior IC,United States,2023-05-17,-0.6013098274822722,-0.983911394145171
Full-Time,Unclear,Unclear,Staff IC,United States,2023-02-21,1.0323705659496922,2.288741633397658
Unclear,Unclear,Unclear,Unclear Seniority,,2023-03-26,-0.4487213911302157,-0.9623055294973154
Full-Time,Unclear,Bachelors,Unclear Seniority,United States,2023-05-17,0.24397590878850628,-0.2412097968751358
Full-Time,Unclear,High School,Unclear Seniority,United States,2023-03-09,-0.8468437669078466,-0.8250447423227036
Full-Time,Unclear,High School,Manager,United States,2023-05-24,-0.7223608559725008,-0.896217002339169
Contract,Unclear,Unclear,Staff IC,United Kingdom,2023-04-03,-0.37415320366762395,0.2234751597055814
Full-Time,Unclear,High School,Unclear Seniority,United States,2023-05-31,-0.8468437669078466,-0.9953497930763887
Full-Time,true,Bachelors,Senior IC,United States,2023-03-20,0.5487991349210541,0.5809251263061331
Unclear,Unclear,Unclear,Unclear Seniority,United States,2023-02-09,0.06996487757964275,1.2561083965516198
Student,Unclear,Unclear,Unclear Seniority,United States,2023-04-07,0.023194749677325786,-1.047458054874158
Full-Time,Unclear,Unclear,Senior IC,United Kingdom,2023-05-03,-0.6531176460503587,-0.7773847467759634
Full-Time,false,Unclear,IC,United States,2023-04-25,0.3982424474783127,0.8589417669954511
Full-Time,Unclear,Unclear,Unclear Seniority,United States,2023-05-22,-0.07582341830059793,1.494408374285321
Full-Time,false,Some High School,Unclear Seniority,United States,2023-03-12,-0.346205403056372,-0.9283080660073074
Full-Time,Unclear,Unclear,Unclear Seniority,United States,2023-03-28,-0.07582341830059793,-0.7297247512292232
Part-Time,Unclear,High School,Unclear Seniority,United States,2023-05-18,-0.9137027807585573,-0.8390567810134453
Full-Time,Unclear,High School,Unclear Seniority,United States,2023-05-30,-0.8468437669078466,-0.9292612659182422
Full-Time,Unclear,High School,Manager,United States,2023-05-24,-0.7223608559725008,-0.6966804876501499
Full-Time,Unclear,Unclear,IC,United States,2023-06-01,0.28533417927153853,-0.3643314520375481
Full-Time,Unclear,Unclear,Unclear Seniority,United States,2023-05-12,-0.07582341830059793,0.32673848339018524
Full-Time,Unclear,Unclear,Unclear Seniority,United States,2023-05-08,-0.07582341830059793,-0.7297247512292232
Unclear,Unclear,High School,Unclear Seniority,United States,2023-04-21,-0.8472021702657349,-0.9292612659182422
Full-Time,Unclear,Unclear,Unclear Seniority,United States,2023-05-26,-0.07582341830059793,0.001061847154127011
Unclear,Unclear,Unclear,Unclear Seniority,Ghana,2023-05-22,-0.00746719179302945,0.22590581947846516
Unclear,true,Unclear,Unclear Seniority,United States,2023-05-09,0.9373660026560691,-0.8885914030516906
Full-Time,false,Unclear,Unclear Seniority,United States,2023-05-16,0.14906280658454432,-0.22929479798845076
Full-Time,Unclear,Unclear,Unclear Seniority,United States,2023-05-11,-0.07582341830059793,-0.2531247957618209
Full-Time,Unclear,High School,Unclear Seniority,United States,2023-05-22,-0.8468437669078466,-0.7921275720650883
Full-Time,Unclear,Unclear,Senior IC,India,2023-05-09,-0.2836435453059732,0.021730398556230022
Full-Time,Unclear,Bachelors,Manager,United States,2023-04-03,0.4020596103647615,0.5729817937150098
Full-Time,Unclear,Bachelors,Senior IC,United States,2023-04-13,0.4401317614849217,1.494408374285321
Full-Time,Unclear,Unclear,Senior IC,United States,2023-02-28,0.4376022631939808,0.7993667725620258
Unclear,Unclear,Unclear,Unclear Seniority,United States,2023-03-13,0.06996487757964275,-0.7640399480228761
Unclear,Unclear,Unclear,IC,United States,2023-06-01,0.3139426851349468,-0.20546480021508065
Full-Time,Unclear,High School,Unclear Seniority,United States,2023-05-19,-0.8468437669078466,-0.8301284751810225
Full-Time,false,Unclear,Senior IC,Belgium,2023-01-26,-0.23580841800889654,0.021730398556230022
Unclear,Unclear,High School,Unclear Seniority,United States,2023-04-12,-0.8472021702657349,-0.7297247512292232
